用例编号	用例名称	前置条件	测试数据	测试步骤	预期结果	实际结果	优先级	版本号
TC_019	身份证号：校验位错误	打开投保人信息页面	身份证号=110101199003076630	1. 输入校验位错误的号码<br>2. 提交	提示“身份证号无效，请检查”	待填写	高	V1.0
TC_020	身份证号：出生日期非法（如2月30日）	打开投保人信息页面	身份证号=110101199002306631	1. 输入非法出生日期<br>2. 提交	提示“身份证号出生日期不合法”	待填写	中	V1.0
TC_021	手机号码：合法11位数字	打开投保人信息页面	手机号=13812345678	1. 输入正确手机号<br>2. 提交	无错误提示	待填写	高	V1.0
TC_022	手机号码：为空	打开投保人信息页面	手机号=空	1. 不输入手机号<br>2. 提交	提示“请输入手机号码”	待填写	高	V1.0
TC_023	手机号码：长度小于11位	打开投保人信息页面	手机号=1381234567	1. 输入10位数字<br>2. 提交	提示“手机号应为11位”	待填写	中	V1.0
TC_024	手机号码：长度大于11位	打开投保人信息页面	手机号=138123456789	1. 输入12位数字<br>2. 提交	提示“手机号不能超过11位”	待填写	中	V1.0
TC_025	手机号码：含非数字字符	打开投保人信息页面	手机号=1381234567a	1. 输入字母<br>2. 提交	提示“手机号只能为数字”	待填写	中	V1.0
TC_026	手机号码：以非1开头	打开投保人信息页面	手机号=23812345678	1. 输入以2开头的号码<br>2. 提交	提示“手机号必须以1开头”	待填写	中	V1.0
TC_027	手机号码：第二位数字非法（如0-9校验）	打开投保人信息页面	手机号=13012345678	1. 输入合法第二位（3/5/7/8/9等）<br>2. 提交	通过，无提示	待填写	中	V1.0
TC_028	发送验证码：手机号为空点击发送	打开投保人信息页面	手机号=空	1. 不填手机号<br>2. 点击“发送验证码”	提示“请先填写手机号码”	待填写	高	V1.0
TC_029	发送验证码：手机号格式错误点击发送	打开投保人信息页面	手机号=123	1. 输入错误手机号<br>2. 点击“发送验证码”	提示“手机号格式错误”	待填写	高	V1.0
TC_030	发送验证码：手机号合法点击发送	打开投保人信息页面	手机号=13812345678	1. 输入正确手机号<br>2. 点击发送验证码	提示“验证码已发送”，手机收到短信	待填写	高	V1.0
TC_031	发送验证码：倒计时期间重复点击	验证码已发送，倒计时60秒	手机号=13812345678	1. 点击发送验证码<br>2. 倒计时内再次点击发送	按钮置灰，提示“请等待xx秒”	待填写	中	V1.0
TC_032	验证码：为空点击提交	已发送验证码	验证码=空	1. 不输入验证码<br>2. 点击提交	提示“请输入验证码”	待填写	高	V1.0
TC_033	验证码：错误验证码	已发送正确的验证码为123456	验证码=111111	1. 输入错误验证码<br>2. 点击提交	提示“验证码错误”	待填写	高	V1.0
TC_034	验证码：过期验证码	验证码已超过5分钟有效期	验证码=123456	1. 输入之前的验证码<br>2. 点击提交	提示“验证码已过期，请重新获取”	待填写	高	V1.0
TC_035	验证码：正确验证码	已发送验证码123456	验证码=123456	1. 输入正确验证码<br>2. 点击提交	验证通过，进入下一步	待填写	高	V1.0
TC_036	联系地址（省）：未选择	打开投保人信息页面	省份=未选择	1. 不选择省份<br>2. 提交	提示“请选择联系地址（省）”	待填写	高	V1.0
TC_037	联系地址（省）：正常选择省份	打开投保人信息页面	省份=广东省	1. 点击下拉框<br>2. 选择“广东省”<br>3. 提交	省份显示“广东省”，提交成功	待填写	高	V1.0
TC_038	联系地址（省）：切换省份	已选择“广东省”	省份=北京市	1. 重新选择“北京市”<br>2. 提交	地址更新为“北京市”	待填写	中	V1.0
TC_039	投保人非注册用户：未勾选确认信息	打开投保人信息页面，假设无登录态	不勾选确认投保人为注册用户本人	1. 填写所有信息<br>2. 提交	提示需勾选确认投保人为注册用户本人	待填写	高	V1.0
TC_040	所有字段合法完整提交	所有字段均为合法数据	姓名=张明<br>中国境内=是<br>身份证=11010119900307663X<br>手机=13812345678<br>验证码=123456<br>省份=广东省	1. 填写所有字段<br>2. 勾选确认<br>3. 提交	提交成功，进入下一步或提示投保信息保存成功	待填写	高	V1.0
